"block","offset","address","size","name","r/w","description"
"vdp2",18,"00b4",2,"KTCTL","RW",
"vdp2",18,"00b6",2,"KTAOF","RW",
"vdp2",18,"00b8",2,"OVPNRA","RW",
"vdp2",18,"00ba",2,"OVPNRB","RW",
"vdp2",18,"00bc",4,"RPTA","RW",
"vdp2",18,"00c0",2,"WPSX0","RW",
"vdp2",18,"00c2",2,"WPSY0","RW",
"vdp2",18,"00c4",2,"WPEX0","RW",
"vdp2",18,"00c6",2,"WPEY0","RW",
"vdp2",18,"00c8",2,"WPSX1","RW",
"vdp2",18,"00ca",2,"WPSY1","RW",
"vdp2",18,"00cc",2,"WPEX1","RW",
"vdp2",18,"00ce",2,"WPEY1","RW",
"vdp2",18,"00d0",2,"WCTLA","RW",
"vdp2",18,"00d2",2,"WCTLB","RW",
"vdp2",18,"00d4",2,"WCTLC","RW",
"vdp2",18,"00d6",2,"WCTLD","RW",
"vdp2",18,"00d8",4,"LWTA0","RW",
"vdp2",18,"00dc",4,"LWTA1","RW",
"vdp2",18,"00e0",2,"SPCTL","RW",
"vdp2",18,"00e2",2,"SDCTL","RW",
"vdp2",18,"00e4",2,"CRAOFA","RW",
"vdp2",18,"00e6",2,"CRAOFB","RW",
"vdp2",18,"00e8",2,"LNCLEN","RW",
"vdp2",18,"00ea",2,"SFPRMD","RW",
"vdp2",18,"00ec",2,"CCCTL","RW",
"vdp2",18,"00ee",2,"SFCCMD","RW",
"vdp2",18,"00f0",2,"PRISA","RW",
"vdp2",18,"00f2",2,"PRISB","RW",
"vdp2",18,"00f4",2,"PRISC","RW",
"vdp2",18,"00f6",2,"PRISD","RW",
"vdp2",18,"00f8",2,"PRINA","RW",
"vdp2",18,"00fa",2,"PRINB","RW",
"vdp2",18,"00fc",2,"PRIR","RW",
"vdp2",18,"0100",2,"CCRSA","RW",
"vdp2",18,"0102",2,"CCRSB","RW",
"vdp2",18,"0104",2,"CCRSC","RW",
"vdp2",18,"0106",2,"CCRSD","RW",
"vdp2",18,"0108",2,"CCRNA","RW",
"vdp2",18,"010a",2,"CCRNB","RW",
"vdp2",18,"010c",2,"CCRR","RW",
"vdp2",18,"010e",2,"CCRLB","RW",
"vdp2",18,"0110",2,"CLOFEN","RW",
"vdp2",18,"0112",2,"CLOFSL","RW",
"vdp2",18,"0114",2,"COAR","RW",
"vdp2",18,"0116",2,"COAG","RW",
"vdp2",18,"0118",2,"COAB","RW",
"vdp2",18,"011a",2,"COBR","RW",
"vdp2",18,"011c",2,"COBG","RW",
"vdp2",18,"011e",2,"COBB","RW",
